Longitude,Latitude
171.8378085,-42.6
173.4850938,-42.6
173.4984501,-42.55688784
173.4761895,-42.54037915
173.4895459,-42.51396524
173.5162586,-42.49085308
173.5162586,-42.46113744
173.5474235,-42.44132701
173.5785884,-42.42481833
173.6275617,-42.41161137
173.6587266,-42.40170616
173.6676308,-42.37199052
173.6898914,-42.34227488
173.7255084,-42.32246445
173.7255084,-42.29274882
173.747769,-42.26963665
173.7967423,-42.23992101
173.8457157,-42.21020537
173.894689,-42.17388626
173.9080454,-42.15077409
173.894689,-42.12436019
173.9080454,-42.07813586
173.9436624,-42.04181675
173.9703751,-42.00219589
174.0059921,-41.97908373
174.037157,-41.95266983
174.0638697,-41.93616114
174.0638697,-41.91965245
174.0683218,-41.9064455
174.0861303,-41.89984202
174.1083909,-41.89984202
174.1261994,-41.88333333
174.1261994,-41.85361769
174.1351037,-41.83380727
174.1707206,-41.82390205
174.184077,-41.79418641
174.2018855,-41.7842812
174.219694,-41.76447077
174.2508588,-41.73805687
174.2241461,-41.72815166
174.1885291,-41.72815166
174.1529121,-41.71824645
174.1395558,-41.69183254
174.1395558,-41.66872038
174.1440079,-41.64560821
174.1440079,-41.62579779
174.1440079,-41.61259084
174.1217473,-41.59278041
174.1083909,-41.57957346
174.112843,-41.56306477
174.0816782,-41.53665087
174.0238006,-41.50033175
174.00154,-41.47391785
174.00154,-41.43759874
174.0238006,-41.39137441
174.0460612,-41.36496051
174.0549654,-41.32533965
174.1217473,-41.32203791
174.1707206,-41.32203791
174.1929812,-41.30222749
174.2375025,-41.2593049
174.2597631,-41.23619273
174.2909279,-41.20317536
174.3399013,-41.16025276
174.3532577,-41.10412322
174.2775716,-41.12723539
174.184077,-41.17676145
174.1573643,-41.22298578
174.2285982,-41.21968404
174.1573643,-41.25270142
174.0994867,-41.24939968
174.0594176,-41.24609795
174.00154,-41.26260664
173.8590721,-41.27911532
173.930306,-41.25270142
174.0416091,-41.232891
174.1172952,-41.20977883
174.1395558,-41.17676145
174.184077,-41.14374408
174.1351037,-41.12063191
174.1529121,-41.10742496
174.1974334,-41.12063191
174.2775716,-41.01167457
174.1885291,-41.07110585
174.1261994,-41.04799368
174.1662685,-41.02157978
174.1217473,-40.99186414
174.0505133,-41.0149763
174.0460612,-40.97535545
174.0104442,-41.02157978
173.9837315,-41.07440758
173.965923,-41.10082148
173.930306,-41.11402844
173.930306,-41.0843128
173.8635242,-41.13383886
173.8590721,-41.18336493
173.8590721,-41.21308057
173.9035933,-41.20317536
173.9214018,-41.1635545
174.00154,-41.16025276
174.0282527,-41.13383886
174.0460612,-41.15695103
174.0994867,-41.15695103
174.0282527,-41.19657188
173.9481145,-41.20317536
173.8902369,-41.22298578
173.8457157,-41.24279621
173.8056466,-41.26260664
173.7878381,-41.24279621
173.8056466,-41.18666667
173.8011945,-41.1635545
173.7433169,-41.18006319
173.7566732,-41.15034755
173.8100987,-41.12393365
173.8368115,-41.10742496
173.8011945,-41.08761453
173.8724284,-41.07770932
173.9035933,-41.05789889
173.819003,-41.05459716
173.7433169,-41.09421801
173.7076999,-41.10412322
173.7522211,-41.05129542
173.7433169,-41.0149763
173.7789339,-40.9885624
173.7922902,-41.01167457
173.8457157,-40.98195893
173.9214018,-40.94233807
173.9436624,-40.88951027
173.8679763,-40.94563981
173.7967423,-40.95884676
173.8056466,-40.93243286
173.8100987,-40.89611374
173.8457157,-40.84658768
173.8813327,-40.8135703
173.894689,-40.75413902
173.9258539,-40.71451817
173.8679763,-40.76734597
173.8234551,-40.77064771
173.8457157,-40.72442338
173.7789339,-40.78385466
173.7433169,-40.83668246
173.7344126,-40.88290679
173.7166041,-40.92913112
173.7789339,-40.89281201
173.8056466,-40.91592417
173.7566732,-40.95224329
173.7076999,-40.97865719
173.6364659,-41.01167457
173.6275617,-41.04139021
173.6943435,-41.03808847
173.7076999,-41.05789889
173.6364659,-41.07770932
173.5830405,-41.10082148
173.5518756,-41.06450237
173.4628332,-41.10742496
173.4494768,-41.14704581
173.4094077,-41.1635545
173.3737907,-41.15695103
173.2713919,-41.22298578
173.2224186,-41.26260664
173.1734452,-41.29892575
173.1244719,-41.2857188
173.0398815,-41.25600316
173.0309773,-41.21638231
172.9775518,-41.18006319
172.9820039,-41.10742496
172.9641955,-41.07770932
172.9641955,-41.04139021
172.9686476,-40.99516588
172.9953603,-40.93243286
172.9820039,-40.89611374
172.9374827,-40.83668246
172.9374827,-40.80696682
172.8840573,-40.80366509
172.8172754,-40.84328594
172.7593978,-40.84328594
172.6792596,-40.79375987
172.6302863,-40.72772512
172.6258342,-40.691406
172.6258342,-40.64518167
172.656999,-40.56924171
172.7104245,-40.53952607
172.7683021,-40.53292259
172.8350839,-40.53622433
172.946387,-40.55933649
172.9953603,-40.59235387
172.9820039,-40.56593997
172.9018657,-40.53952607
172.8350839,-40.52631912
172.7593978,-40.52631912
172.6792596,-40.52631912
172.621382,-40.5164139
172.5768608,-40.53292259
172.4611056,-40.60556082
172.3765153,-40.65508689
172.327542,-40.69470774
172.3008292,-40.72112164
172.2785686,-40.74753555
172.1984304,-40.78055292
172.1628134,-40.81026856
172.0960316,-40.8663981
172.0693189,-40.88951027
172.0782231,-40.90601896
172.0604146,-40.93243286
172.0426061,-40.97535545
172.0470582,-41.05459716
172.0470582,-41.13383886
172.0515104,-41.20977883
172.0470582,-41.29232227
172.038154,-41.36826224
172.0203455,-41.42439179
171.9535637,-41.4871248
171.9134946,-41.54325434
171.8867818,-41.60268562
171.8378085,-41.6621169
